id,nombre,album,creador,opennotes,letras,guitarra,bajo,segundag.,drum,key,imagen,video,link,link_mf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,El libro de las sombras,"Hechizos, Pocimas y Brujeria",KittyLucy_UwU,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/leyenda.jpg,sinvideo,https://drive.google.com/file/d/1D7rQhv_tZnijOPTeQL7YHVvsEb4wOwnf,https://www.mediafire.com/file/og6gty5ma9vsw1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,El libro de las sombras,"Hechizos, Pocimas y Brujeria","Qweflol, ZpyrRX",no,si,★★★★,★★★★,★★★★,★★★★,★★★★,datasong/album/leyenda.jpg,https://www.youtube.com/embed/d8KnSpGwf6M,https://drive.google.com/file/d/1DI8V3YBL8__lMAKNm7-kePY3pBhZvCW5,https://www.mediafire.com/file/mucb0ea6xtbgml4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,El mercado de las brujas,"Hechizos, Pocimas y Brujeria",Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/hechizos.jpg,https://www.youtube.com/embed/d7YOiHK3I0A,https://drive.google.com/file/d/1DpVeZ1IPpCuIrYregnaohrwkepD4bAVH,https://www.mediafire.com/file/p1b364347jata4p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,El pacto (En Vivo),Madrid las Ventas,LMBECIL1832,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/madridlasv.jpg,https://www.youtube.com/embed/6wVFUz-oI4c,https://drive.google.com/file/d/1E386Cfjc2XlpR_tM31WoxzwE4dDpnPr0,https://www.mediafire.com/file/o8hf0rwgawpvn1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,El paseo de los tristes,Gaia II: La Voz Dormida,Daniel,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,sinvideo,https://drive.google.com/file/d/1E9M5ttJJPsBl5pXVKfHkArm45_7Zzxvj,https://www.mediafire.com/file/tp04l3oc982uuua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,El paseo de los tristes,Gaia II: La Voz Dormida,Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/pUGAVfDzNKc,https://drive.google.com/file/d/1FTBVeCm6Yuv7AuVn6_w64xRkT_JtMIeZ,https://www.mediafire.com/file/3o9ahv0sm9q95kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,El paseo de los tristes,Gaia II: La Voz Dormida,GhostByob,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,sinvideo,https://drive.google.com/file/d/1Fik69x9B2V5loQlMj8-r_q0YW6aLZlQA,https://www.mediafire.com/file/so56xj0x93hghk0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,El poema de la lluvia triste 2.0,CeltiLand,Zbagint,si,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/DZggQSj-2yQ,https://drive.google.com/file/d/1GFGrlO4_gj1fD7G-zqaY0F7TVecRAluZ,https://www.mediafire.com/file/uwal657ma9o7g2o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,El que quiera entender que entienda,Finisterra,aeromark,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/3n9xwfdr9ok,https://drive.google.com/file/d/1IMrJpEjN6SOG7yhKv_JPn2XFzjJBQYNs,https://www.mediafire.com/file/l2x8yct9x9xs276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,El que quiera entender que entienda,Finisterra,Albertus,no,no,✰★★★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,sinvideo,https://drive.google.com/file/d/1IbBjQlck9Cvs8e4iCgeDtBOd4BQ6KMV-,https://www.mediafire.com/file/31ks1z324jthtmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,El que quiera entender que entienda,Finisterra,LMBECIL1832,si,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰★,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/EzPXLRa9D7A,https://drive.google.com/file/d/1JByEJSE7R97n1OE6w_6E1Sfu6r9t5u8t,https://www.mediafire.com/file/fnagulcu0d0u8d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,El rincon de los sentidos,La Ciudad de los Arboles,Lost,si,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/losarboles.jpg,sinvideo,https://drive.google.com/file/d/1JJ8GiFkniuwLj0DgqI0BjgwZU_DCtRw-,https://www.mediafire.com/file/08442gzeuy1o5g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,El rincon de los sentidos,La Ciudad de los Arboles,Row,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/losarboles.jpg,https://www.youtube.com/embed/sH0uqQc3Sq4,https://drive.google.com/file/d/1JTxkc-9d7d7_YRLT0Ij2YTvRBYElQ67j,https://www.mediafire.com/file/q1a0prfowgkwyvd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
